"TIN","TaxpayerType","TaxAccountNo","AssessmentNo","FormVersion","TaxPeriodYear","TaxPeriodMonth","ReceiveDate","EntryDate","DueDate","10TotalSales","20ExemptSales","30Zero-ratedSales","40AddLines20and30","50GSTTaxableSales","60OutputDebits","70DeferredImportLiabil","80GSTPaidBus.Input","90GSTPaidExemptSales","100GSTPaidPriv.Purpose","110AddLines90and100","120InputCredits","130OutputDebits","140DeductInputCredits","151GSTPayable","152GSTRefundable","160GSTS64ACrAllowable"
"500000009","ENTERPRISE",27029,3086679,3,2023,2,17-APR-23,17-APR-23,21-MAR-23,22179891.55,19810720.21,13438.29,19824158.5,2355733.05,214157.55,0,544938.1,521205.07,0,521205.07,23733.03,214157.55,23733.03,190424.52,0,0
"500000009","ENTERPRISE",27029,3090716,3,2023,3,21-APR-23,21-APR-23,21-APR-23,24237352.82,23544185.46,6048.18,23550233.64,687119.18,62465.38,0,471937.13,433425.08,0,433425.08,38512.05,62465.38,38512.05,23953.33,0,0
"500000009","ENTERPRISE",27029,3123787,3,2023,4,24-MAY-23,24-MAY-23,22-MAY-23,24276460.41,20761632.33,6858.01,20768490.34,3507970.07,318906.37,0,627046.37,525623.62,0,525623.62,101422.75,318906.37,101422.75,217483.62,0,0
"500000009","ENTERPRISE",27029,3154566,3,2023,5,22-JUN-23,22-JUN-23,21-JUN-23,26087494.57,23597491.63,10486.67,23607978.3,2479516.27,225410.57,0,560468.11,463506.82,0,463506.82,96961.29,225410.57,96961.29,128449.28,0,856.55
"500000009","ENTERPRISE",27029,3184096,3,2023,6,21-JUL-23,21-JUL-23,21-JUL-23,25785731.99,23457433.28,17104.55,23474537.83,2311194.16,210108.56,0,468796.94,396976.13,0,396976.13,71820.81,210108.56,71820.81,138287.75,0,0
"500000009","ENTERPRISE",27029,3217960,3,2023,7,29-AUG-23,29-AUG-23,21-AUG-23,28797103.71,26677380.08,11380.36,26688760.44,2108343.27,191667.57,0,668370.27,492854.04,0,492854.04,175516.23,191667.57,175516.23,16151.34,0,512.69
"500000009","ENTERPRISE",27029,3243914,3,2023,8,26-SEP-23,26-SEP-23,21-SEP-23,29835187.14,23399359.45,21299.68,23420659.13,6414528.01,583138.91,0,906160.65,796619.34,0,796619.34,109541.31,583138.91,109541.31,473597.6,0,0
"500000009","ENTERPRISE",27029,3279151,3,2023,9,31-OCT-23,31-OCT-23,23-OCT-23,25354510.2,23398680.77,19419.46,23418100.23,1936409.97,176037.27,0,672643.62,590832.02,0,590832.02,81811.6,176037.27,81811.6,94225.67,0,0
"500000009","ENTERPRISE",27029,3297588,3,2023,10,21-NOV-23,21-NOV-23,21-NOV-23,28557031.4,25186918.74,0,25186918.74,3370112.66,306373.88,0,648229.86,531547.34,0,531547.34,116682.52,306373.88,116682.52,189691.36,0,0
"500000009","ENTERPRISE",27029,3322808,3,2023,11,22-DEC-23,22-DEC-23,21-DEC-23,29111609.18,25577037.66,12034.7,25589072.36,3522536.82,320230.62,0,666837.44,644076.34,0,644076.34,22761.1,320230.62,22761.1,297469.52,0,0
"500000009","ENTERPRISE",27029,3335781,3,2023,12,22-JAN-24,22-JAN-24,22-JAN-24,29202125.03,26414467.54,22080.61,26436548.15,2765576.88,251416.08,0,772856.61,729956.25,0,729956.25,42900.36,251416.08,42900.36,208515.72,0,0
"500000036","ENTERPRISE",45339,3033397,3,2023,1,20-FEB-23,23-FEB-23,21-FEB-23,200748512.44,176571698.58,0,176571698.58,24176813.86,2197892.17,0,3011181.45,2458914,0,2458914,552267.45,2197892.17,552267.45,1645624.72,0,0
"500000036","ENTERPRISE",45339,3058897,3,2023,2,17-MAR-23,20-MAR-23,21-MAR-23,181794369.97,160641520.67,0,160641520.67,21152849.3,1922986.3,0,2714826.56,2136083.28,0,2136083.28,578743.28,1922986.3,578743.28,1344243.02,0,0
"500000036","ENTERPRISE",45339,3123927,3,2023,3,20-APR-23,24-MAY-23,21-APR-23,210080438.63,188366388.04,0,188366388.04,21714050.59,1974004.6,0,3447769.93,2553639.44,0,2553639.44,894130.49,1974004.6,894130.49,1079874.11,0,0
"500000036","ENTERPRISE",45339,3124094,3,2023,4,23-MAY-23,24-MAY-23,22-MAY-23,191927630.27,176058507.45,0,176058507.45,15869122.82,1442647.53,0,1217512.36,947099.18,0,947099.18,270413.18,1442647.53,270413.18,1172234.35,0,0
"500000036","ENTERPRISE",45339,3158645,3,2023,5,20-JUN-23,27-JUN-23,21-JUN-23,203148708.44,177842770.21,0,177842770.21,25305938.23,2300539.84,0,4420589.73,2753530.24,0,2753530.24,1667059.49,2300539.84,1667059.49,633480.35,0,0
"500000036","ENTERPRISE",45339,3178798,3,2023,6,14-JUL-23,17-JUL-23,21-JUL-23,204166311.41,183945196.66,0,183945196.66,20221114.75,1838283.16,0,3210679.69,2470501.72,0,2470501.72,740177.97,1838283.16,740177.97,1098105.19,0,4630.36
"500000036","ENTERPRISE",45339,3212662,3,2023,7,21-AUG-23,23-AUG-23,21-AUG-23,241861047.02,189425844.75,0,189425844.75,52435202.27,4766836.57,0,5347427.47,4140852.96,0,4140852.96,1206574.51,4766836.57,1206574.51,3560262.06,0,0
"500000036","ENTERPRISE",45339,3244870,3,2023,8,21-SEP-23,27-SEP-23,21-SEP-23,210774610.19,183827279.45,0,183827279.45,26947330.74,2449757.34,0,5014769.65,2976194.14,0,2976194.14,2038575.51,2449757.34,2038575.51,411181.83,0,0
"500000036","ENTERPRISE",45339,3273278,3,2023,9,20-OCT-23,25-OCT-23,23-OCT-23,200220110.55,178633519.7,0,178633519.7,21586590.85,1962417.35,0,3150661.85,2061270.62,0,2061270.62,1089391.23,1962417.35,1089391.23,873026.12,0,0
"500000036","ENTERPRISE",45339,3298312,3,2023,10,21-NOV-23,22-NOV-23,21-NOV-23,215675836.03,197580324.53,0,197580324.53,18095511.5,1645046.5,0,4029398.85,2528823.97,0,2528823.97,1500574.88,1645046.5,1500574.88,144471.62,0,0
"500000036","ENTERPRISE",45339,3323401,3,2023,11,20-DEC-23,28-DEC-23,21-DEC-23,221515966.03,194203293.94,0,194203293.94,27312672.09,2482970.19,0,2928510.29,2470141.02,0,2470141.02,458369.27,2482970.19,458369.27,2024600.92,0,0
"500000036","ENTERPRISE",45339,3338046,3,2023,12,23-JAN-24,25-JAN-24,22-JAN-24,229031680.36,205963264.11,0,205963264.11,23068416.25,2097128.75,0,2889967.52,2464365.83,0,2464365.83,425601.69,2097128.75,425601.69,1671527.06,0,0
"500000045","ENTERPRISE",21744,3498133,3,2023,1,20-FEB-23,25-JUN-24,21-FEB-23,0,0,0,0,0,0,0,4680,0,0,0,4680,0,4680,0,4680,0
"500000045","ENTERPRISE",21744,3498134,3,2023,2,21-MAR-23,25-JUN-24,21-MAR-23,0,0,0,0,0,0,0,70.5,0,0,0,70.5,0,70.5,0,70.5,0
"500000045","ENTERPRISE",21744,3498137,3,2023,3,21-APR-23,25-JUN-24,21-APR-23,0,0,0,0,0,0,0,107.5,0,0,0,107.5,0,107.5,0,107.5,0
"500000045","ENTERPRISE",21744,3498138,3,2023,4,21-MAY-23,25-JUN-24,22-MAY-23,0,0,0,0,0,0,0,195,0,0,0,195,0,195,0,195,0
"500000045","ENTERPRISE",21744,3547481,3,2023,5,19-AUG-24,19-AUG-24,21-JUN-23,0,0,0,0,0,0,0,10873.5,0,0,0,10873.5,0,10873.5,0,10873.5,0
"500000045","ENTERPRISE",21744,3287428,3,2023,6,12-JUL-23,08-NOV-23,21-JUL-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500000045","ENTERPRISE",21744,3326057,3,2023,7,16-AUG-23,05-JAN-24,21-AUG-23,0,0,0,0,0,0,0,214.5,0,0,0,214.5,0,214.5,0,214.5,0
"500000045","ENTERPRISE",21744,3498140,3,2023,8,21-SEP-23,25-JUN-24,21-SEP-23,0,0,0,0,0,0,0,107.5,0,0,0,107.5,0,107.5,0,107.5,0
"500000045","ENTERPRISE",21744,3393500,3,2023,9,21-MAR-24,21-MAR-24,23-OCT-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500000045","ENTERPRISE",21744,3309918,3,2023,10,13-NOV-23,07-DEC-23,21-NOV-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500000045","ENTERPRISE",21744,3498141,3,2023,11,21-DEC-23,25-JUN-24,21-DEC-23,0,0,0,0,0,0,0,255,0,0,0,255,0,255,0,255,0
"500000045","ENTERPRISE",21744,3498142,3,2023,12,20-JAN-24,25-JUN-24,22-JAN-24,0,0,0,0,0,0,0,35,0,0,0,35,0,35,0,35,0
"500000063","ENTERPRISE",52919,3033468,3,2023,1,21-FEB-23,23-FEB-23,21-FEB-23,233938183.61,0,27717780.21,27717780.21,206220403.4,18747309.4,4863849.54,8011433.82,0,0,0,8011433.82,23611158.94,8011433.82,15599725.12,0,12879.17
"500000063","ENTERPRISE",52919,3063763,3,2023,2,22-MAR-23,23-MAR-23,21-MAR-23,208739440.17,0,14443180.43,14443180.43,194296259.74,17663296.34,0,5220470.17,0,0,0,5220470.17,17663296.34,5220470.17,12442826.17,0,144111.38
"500000063","ENTERPRISE",52919,3455750,3,2023,3,21-APR-23,15-MAY-24,21-APR-23,263767574.58,0,38169715.37,38169715.37,225597859.21,20508896.29,21872681.69,53704409.63,0,0,0,53704409.63,42381577.98,53704409.63,0,11322831.65,140480.23
"500000063","ENTERPRISE",52919,3396544,3,2023,4,25-MAR-24,25-MAR-24,22-MAY-23,282865712.23,0,117587344.92,117587344.92,165278367.31,15025306.12,8348490.89,19155395.48,0,0,0,19155395.48,23373797.01,19155395.48,4218401.53,0,155729.57
"500000063","ENTERPRISE",52919,3396485,3,2023,5,21-JUN-23,25-MAR-24,21-JUN-23,264233420.72,0,134038667.82,134038667.82,130194752.9,11835886.63,11005152.15,17224219.34,0,0,0,17224219.34,22841038.78,17224219.34,5616819.44,0,157405.91
"500000063","ENTERPRISE",52919,3180614,3,2023,6,21-JUL-23,18-JUL-23,21-JUL-23,237565749.86,0,68156850.04,68156850.04,169408899.82,15400809.07,1436538.58,4461868.35,0,0,0,4461868.35,16837347.65,4461868.35,12375479.3,0,162309.61
"500000063","ENTERPRISE",52919,3213651,3,2023,7,21-AUG-23,24-AUG-23,21-AUG-23,176978009.37,0,1869151.06,1869151.06,175108858.31,15918987.12,0,7846888.07,0,0,0,7846888.07,15918987.12,7846888.07,8072099.05,0,130843.52
"500000063","ENTERPRISE",52919,3480641,3,2023,8,21-SEP-23,05-JUN-24,21-SEP-23,175379801.07,0,122273.95,122273.95,175257527.12,15932502.47,6908059.32,24429371.74,0,0,0,24429371.74,22840561.79,24429371.74,0,1588809.95,35896.67
"500000063","ENTERPRISE",52919,3276938,3,2023,9,23-OCT-23,30-OCT-23,23-OCT-23,142776283.01,0,6815142.59,6815142.59,135961140.42,12360103.67,0,9792992.92,0,0,0,9792992.92,12360103.67,9792992.92,2567110.75,0,144095.9
