tin,taxpayer_name,taxpayer_type,tax_account_number,assessment_number,form_version,tax_period_year,tax_period_month,received_date,entry_date,due_date,total_sales_income,exempt_sales,zero_rated_sales,add_exempt_and_zero_rated_sales,gst_taxable_sales,output_debits,deferred_import_liabilities,gst_paid_on_inputs,gst_paid_exempt_sales,gst_paid_private,add_private_and_exempt_gst_paid,input_credits,deduct_input_credits,gst_payable,gst_refundable,gst_sec65a_credit_allowable,reason
500051793,WOOD GROUP INTERNATIONAL SERVICES PTE LTD,ENTERPRISE,8422,1706075,3,2019,3,18-Apr-19,29-May-19,23-Apr-19,-168446.98,0.0,0.0,0.0,0.0,0.0,0.0,1873.63,0.0,0.0,0.0,1873.63,1873.63,0.0,1873.63,0.0,total_sales_income value -168446.98 is negative
500000321,OK TEDI MINING LIMITED,ENTERPRISE,30616,1868333,3,2019,9,11-Oct-19,11-Oct-19,21-Oct-19,304188218.9,-1309626.19,300778435.7,299468809.5,4719409.42,429037.22,0.0,10506501.05,0.0,0.0,0.0,10506501.05,10506501.05,0.0,10077463.83,0.0,exempt_sales value -1309626.19 is negative
500001197,NES FIRCROFT PNG LIMITED,ENTERPRISE,23570,1665813,3,2019,3,18-Apr-19,25-Apr-19,23-Apr-19,1472852.07,-17167.98,348493.12,331325.14,1141526.93,103775.18,0.0,27518.86,0.0,0.0,0.0,27518.86,27518.86,76256.32,0.0,0.0,exempt_sales value -17167.98 is negative; exempt_sales value -29604.96 is negative; exempt_sales value -2475.53 is negative; exempt_sales value -13314.4 is negative; exempt_sales value -11516.23 is negative
500001197,NES FIRCROFT PNG LIMITED,ENTERPRISE,23570,1728871,3,2019,5,20-Jun-19,20-Jun-19,21-Jun-19,1611482.04,-29604.96,372152.7,342547.74,1268934.3,115357.66,0.0,34544.41,0.0,0.0,0.0,34544.41,34544.41,80813.25,0.0,0.0,exempt_sales value -17167.98 is negative; exempt_sales value -29604.96 is negative; exempt_sales value -2475.53 is negative; exempt_sales value -13314.4 is negative; exempt_sales value -11516.23 is negative
500001197,NES FIRCROFT PNG LIMITED,ENTERPRISE,23570,1766776,3,2019,6,19-Jul-19,22-Jul-19,22-Jul-19,1101623.25,-2475.53,272755.57,270280.04,831343.21,75576.66,0.0,26137.65,0.0,0.0,0.0,26137.65,26137.65,49439.01,0.0,0.0,exempt_sales value -17167.98 is negative; exempt_sales value -29604.96 is negative; exempt_sales value -2475.53 is negative; exempt_sales value -13314.4 is negative; exempt_sales value -11516.23 is negative
500001197,NES FIRCROFT PNG LIMITED,ENTERPRISE,23570,1806108,3,2019,7,22-Aug-19,22-Aug-19,21-Aug-19,1630451.7,-13314.4,336453.16,323138.76,1307312.94,118846.63,0.0,27390.57,0.0,0.0,0.0,27390.57,27390.57,91456.06,0.0,0.0,exempt_sales value -17167.98 is negative; exempt_sales value -29604.96 is negative; exempt_sales value -2475.53 is negative; exempt_sales value -13314.4 is negative; exempt_sales value -11516.23 is negative
500001197,NES FIRCROFT PNG LIMITED,ENTERPRISE,23570,1924185,3,2019,10,21-Nov-19,21-Nov-19,21-Nov-19,1442159.53,-11516.23,468142.64,456626.41,985533.12,89593.92,0.0,27450.53,0.0,0.0,0.0,27450.53,27450.53,62143.39,0.0,0.0,exempt_sales value -17167.98 is negative; exempt_sales value -29604.96 is negative; exempt_sales value -2475.53 is negative; exempt_sales value -13314.4 is negative; exempt_sales value -11516.23 is negative
500000615,BRIDGESTONE TYRES (PNG) LTD,ENTERPRISE,29436,3161678,3,2019,8,13-Sep-19,29-Jun-23,23-Sep-19,6921427.0,0.0,-1071.0,-1071.0,6922498.0,629318.0,0.0,479969.72,0.0,848.56,848.56,479121.16,479121.16,150196.84,0.0,0.0,zero_rated_sales value -1071.0 is negative
500000633,KENMORE LIMITED,ENTERPRISE,13979,1884820,3,2019,9,23-Oct-19,23-Oct-19,21-Oct-19,35654579.15,3780823.86,-167.42,3780656.44,31873922.71,2897629.34,0.0,2013475.38,293.22,0.0,293.22,2013182.16,2013182.16,884447.18,0.0,0.0,zero_rated_sales value -167.42 is negative
500283579,GAS RESOURCES GIGIRA LIMITED,ENTERPRISE,101238,3787067,3,2019,1,25-Feb-19,1-May-25,21-Feb-19,16661964.51,,16661964.51,,,,,15151.48,,,,,,,,,Sum difference exceeds tolerance (difference=nan)
500283579,GAS RESOURCES GIGIRA LIMITED,ENTERPRISE,101238,3787105,3,2019,3,7-May-19,1-May-25,23-Apr-19,13850120.96,,13850120.96,,,,,7575.76,,,,,,,,,Sum difference exceeds tolerance (difference=nan)
500283579,GAS RESOURCES GIGIRA LIMITED,ENTERPRISE,101238,3787135,3,2019,7,28-Aug-19,1-May-25,21-Aug-19,2578054.5,,2578054.5,,,,,,,,,,,,,,Sum difference exceeds tolerance (difference=nan)
500283579,GAS RESOURCES GIGIRA LIMITED,ENTERPRISE,101238,3787155,3,2019,8,17-Sep-19,1-May-25,23-Sep-19,13788662.53,,13788662.53,,,,,36363.64,,,,,,,,,Sum difference exceeds tolerance (difference=nan)
500283579,GAS RESOURCES GIGIRA LIMITED,ENTERPRISE,101238,3787201,3,2019,10,22-Nov-19,1-May-25,21-Nov-19,17420442.95,,17420442.95,,,,,,,,,,,,,,Sum difference exceeds tolerance (difference=nan)
